title,team,location,posted_date,url
"US - Specialist: Seasonal, Part-time",Apple Retail,Various Locations within United States,"May 26, 2026",https://jobs.apple.com/en-us/details/114438158/us-specialist-seasonal-part-time?team=APPST
Manager - WW Ops BPR - Business Operations Strategy & Support,Operations and Supply Chain,,"May 26, 2026",https://jobs.apple.com/en-us/details/200659423-0157/manager-ww-ops-bpr-business-operations-strategy-support?team=OPMFG
Manager - WW Ops BPR - Business Operations Strategy & Support,Operations and Supply Chain,,"May 26, 2026",https://jobs.apple.com/en-us/details/200659423-3956/manager-ww-ops-bpr-business-operations-strategy-support?team=OPMFG
Corporate Recruiting Sourcer,Corporate Functions,,"May 26, 2026",https://jobs.apple.com/en-us/details/200663408-5954/corporate-recruiting-sourcer?team=CORSV
"iOS Software Engineer, Image Generation",Software and Services,,"May 26, 2026",https://jobs.apple.com/en-us/details/200625215-0836/ios-software-engineer-image-generation?team=SFTWR
"Software Development Engineer in Test, Swift Platform Experience",Software and Services,,"May 26, 2026",https://jobs.apple.com/en-us/details/200665196-0836/software-development-engineer-in-test-swift-platform-experience?team=SFTWR
"Sr Staff Machine Learning Engineer, ML Platform",Machine Learning and AI,,"May 26, 2026",https://jobs.apple.com/en-us/details/200641072-0836/sr-staff-machine-learning-engineer-ml-platform?team=MLAI
"Sr Staff Machine Learning Engineer, ML Platform",Machine Learning and AI,,"May 26, 2026",https://jobs.apple.com/en-us/details/200641072-2459/sr-staff-machine-learning-engineer-ml-platform?team=MLAI
Senior Engineering Program Manager - ASE / PCC,Software and Services,,"May 26, 2026",https://jobs.apple.com/en-us/details/200665306-0836/senior-engineering-program-manager-ase-pcc?team=SFTWR
"US - Specialist: Seasonal, Part-time",Apple Retail,,"May 26, 2026",https://jobs.apple.com/en-us/details/200665282-2158/us-specialist-seasonal-part-time?team=APPST
"HomeKit Software Engineer, Wireless Technologies & Ecosystems",Software and Services,,"May 26, 2026",https://jobs.apple.com/en-us/details/200665300-3543/homekit-software-engineer-wireless-technologies-ecosystems?team=SFTWR
"Fraud Investigations Optimization Project Manager, Apple Store Online",Support and Service,,"May 26, 2026",https://jobs.apple.com/en-us/details/200664306-0157/fraud-investigations-optimization-project-manager-apple-store-online?team=CUST
"Fraud Investigations Optimization Project Manager, Apple Store Online",Support and Service,,"May 26, 2026",https://jobs.apple.com/en-us/details/200664306-1435/fraud-investigations-optimization-project-manager-apple-store-online?team=CUST
"Computer Vision and Machine Learning Engineer, Creativity Apps",Software and Services,,"May 26, 2026",https://jobs.apple.com/en-us/details/200661630-0836/computer-vision-and-machine-learning-engineer-creativity-apps?team=SFTWR
Beats Product Strategy Analyst,Marketing,,"May 26, 2026",https://jobs.apple.com/en-us/details/200665261-0670/beats-product-strategy-analyst?team=MKTG
Machine Learning Video Engineer,Hardware,,"May 26, 2026",https://jobs.apple.com/en-us/details/200618357-0836/machine-learning-video-engineer?team=HRDWR
"Sr Application Engineer — IT Inventory Platform, IS&T",Software and Services,,"May 26, 2026",https://jobs.apple.com/en-us/details/200664459-0157/sr-application-engineer-it-inventory-platform-is-t?team=SFTWR
"Sr Application Engineer — IT Inventory Platform, IS&T",Software and Services,,"May 26, 2026",https://jobs.apple.com/en-us/details/200664459-3956/sr-application-engineer-it-inventory-platform-is-t?team=SFTWR
Senior Software Engineer,Software and Services,,"May 26, 2026",https://jobs.apple.com/en-us/details/200664840-3956/senior-software-engineer?team=SFTWR
International Regulatory Affairs Lead (Medical Devices),Hardware,,"May 26, 2026",https://jobs.apple.com/en-us/details/200643226-0836/international-regulatory-affairs-lead-medical-devices?team=HRDWR
Tooling Engineer- Metal,Operations and Supply Chain,,"May 27, 2026",https://jobs.apple.com/en-us/details/200665272-0836/tooling-engineer-metal?team=OPMFG
WW Business Planning Manager,Corporate Functions,,"May 27, 2026",https://jobs.apple.com/en-us/details/200660801-0836/ww-business-planning-manager?team=CORSV
Cellular DevOps Engineer,Hardware,,"May 27, 2026",https://jobs.apple.com/en-us/details/200665284-3543/cellular-devops-engineer?team=HRDWR
Cellular DevOps Engineer,Hardware,,"May 27, 2026",https://jobs.apple.com/en-us/details/200665284-3956/cellular-devops-engineer?team=HRDWR
Camera SIPI Engineer,Hardware,,"May 27, 2026",https://jobs.apple.com/en-us/details/200664819-3543/camera-sipi-engineer?team=HRDWR
Camera SIPI Engineer,Hardware,,"May 27, 2026",https://jobs.apple.com/en-us/details/200664824-3543/camera-sipi-engineer?team=HRDWR
Human Data Operations Lead – West Coast,Hardware,,"May 27, 2026",https://jobs.apple.com/en-us/details/200664978-2605/human-data-operations-lead-west-coast?team=HRDWR
Human Data Operations Lead – West Coast,Hardware,,"May 27, 2026",https://jobs.apple.com/en-us/details/200664978-3760/human-data-operations-lead-west-coast?team=HRDWR
"Executive Assistant, Retail Operations",Corporate Functions,,"May 26, 2026",https://jobs.apple.com/en-us/details/200665329-0836/executive-assistant-retail-operations?team=CORSV
Senior Cloud Security Engineer - Design Review,Software and Services,,"May 26, 2026",https://jobs.apple.com/en-us/details/200635090-3337/senior-cloud-security-engineer-design-review?team=SFTWR
Data Engineer,Software and Services,,"May 26, 2026",https://jobs.apple.com/en-us/details/200643156-0836/data-engineer?team=SFTWR
New Product Operations Program Manager – Modules,Operations and Supply Chain,,"May 26, 2026",https://jobs.apple.com/en-us/details/200664936-3956/new-product-operations-program-manager-modules?team=OPMFG
