title,team,location,posted_date,url,source,job_category,description,job_id,first_seen_date,last_seen_date
"Quantum Research Engineer, Quantum Computing",amazon-artificial-general-intelligence,"US, CA, Pasadena",2026-05-29,https://www.amazon.jobs/en/jobs/10434367/quantum-research-engineer-quantum-computing,amazon,Applied Science,"The Amazon Center for Quantum Computing (CQC) team is looking for a passionate, talented, and inventive Research Engineer specializing in hardware design for cryogenic environments. The ideal candidate",10434367,2026-05-29,2026-05-29
"Senior Software Engineer, Fire TV & Tablets",alexa-and-amazon-devices,"US, CA, Sunnyvale",2026-05-29,https://www.amazon.jobs/en/jobs/10433877/senior-software-engineer-fire-tv-tablets,amazon,Software Development,"The Amazon Devices team designs and engineers high-profile consumer electronics, including the best-selling Kindle family of products. We have also produced devices like Fire tablets, Fire TV, Amazon Dash,",10433877,2026-05-29,2026-05-29
"Infrastructure Planning Mgr, Global Network Deployment ",aws,"US, VA, Herndon",2026-05-29,https://www.amazon.jobs/en/jobs/10434439/infrastructure-planning-mgr-global-network-deployment,amazon,Project/Program/Product Management--Non-Tech,Amazon Web Services (AWS) is a fast paced technology company and a leader in the world of data centers. We are currently expanding our infrastructure management team within Amazon Web Services and are,10434439,2026-05-29,2026-05-29
"Infrastructure Planning Mgr, Global Network Deployment ",aws,"US, VA, Herndon",2026-05-29,https://www.amazon.jobs/en/jobs/10434429/infrastructure-planning-mgr-global-network-deployment,amazon,Project/Program/Product Management--Non-Tech,Amazon Web Services (AWS) is a fast paced technology company and a leader in the world of data centers. We are currently expanding our infrastructure management team within Amazon Web Services and are,10434429,2026-05-29,2026-05-29
"Software Engineer, Manufacturing Systems Engineering",alexa-and-amazon-devices,"US, WA, Bellevue",2026-05-29,https://www.amazon.jobs/en/jobs/10433982/software-engineer-manufacturing-systems-engineering,amazon,Software Development,"Amazon LEO is an initiative to launch a constellation of Low Earth Orbit satellites that will provide low-latency, high-speed broadband connectivity to unserved and underserved communities around the world.",10433982,2026-05-29,2026-05-29
"Application Support Engineer, Fauna",subsidiaries,"US, NY, New York",2026-05-29,https://www.amazon.jobs/en/jobs/10434562/application-support-engineer-fauna,amazon,"Operations, IT, & Support Engineering",We are looking for an Applications Engineer to join the Fauna Robotics support team. This role is hands-on technical problem-solving combined with operational ownership that helps the team scale. You will,10434562,2026-05-29,2026-05-29
"Software Engineer, Manufacturing Systems Engineering",alexa-and-amazon-devices,"US, WA, Bellevue",2026-05-29,https://www.amazon.jobs/en/jobs/10433983/software-engineer-manufacturing-systems-engineering,amazon,Software Development,"Amazon LEO is an initiative to launch a constellation of Low Earth Orbit satellites that will provide low-latency, high-speed broadband connectivity to unserved and underserved communities around the world.",10433983,2026-05-29,2026-05-29
Data Center Technician,aws,"US, OR, Umatilla",2026-05-29,https://www.amazon.jobs/en/jobs/10433428/data-center-technician,amazon,"Operations, IT, & Support Engineering","Join our dynamic AWS team and become a critical guardian of global cloud infrastructure! You'll play a pivotal role in maintaining the heartbeat of the world's most innovative technology platform, ensuring",10433428,2026-05-29,2026-05-29
Data Center Technician,aws,"US, OR, Umatilla",2026-05-29,https://www.amazon.jobs/en/jobs/10433429/data-center-technician,amazon,"Operations, IT, & Support Engineering","Join our dynamic AWS team and become a critical guardian of global cloud infrastructure! You'll play a pivotal role in maintaining the heartbeat of the world's most innovative technology platform, ensuring",10433429,2026-05-29,2026-05-29
"Sr. Solutions Architect, SMB",aws,"US, VA, Arlington",2026-05-29,https://www.amazon.jobs/en/jobs/10434855/sr-solutions-architect-smb,amazon,Solutions Architect,"AWS Global Sales drives adoption of the AWS cloud worldwide, enabling customers of all sizes to innovate and expand in the cloud. Our team empowers every customer to grow by providing tailored service,",10434855,2026-05-29,2026-05-29
