title,team,location,posted_date,job_id,source,first_seen_date,last_seen_date,semantic_similarity,url
"US - Specialist: Seasonal, Part-time",Apple Retail,Various Locations within United States,2026-06-09,114438158,apple,2026-05-29,2026-06-09,0.2381,https://jobs.apple.com/en-us/details/114438158/us-specialist-seasonal-part-time?team=APPST
US-Operations Lead,Apple Retail,,2026-06-09,200664753,apple,2026-05-31,2026-06-09,0.1668,https://jobs.apple.com/en-us/details/200664753-3068/us-operations-lead?team=APPST
Manufacturing Quality Engineer (MQE) Enclosures,Operations and Supply Chain,,2026-06-09,200667040,apple,2026-06-09,2026-06-09,0.2266,https://jobs.apple.com/en-us/details/200667040-0157/manufacturing-quality-engineer-mqe-enclosures?team=OPMFG
Manufacturing Quality Engineer (MQE) Enclosures,Operations and Supply Chain,,2026-06-09,200667036,apple,2026-06-09,2026-06-09,0.2266,https://jobs.apple.com/en-us/details/200667036-0836/manufacturing-quality-engineer-mqe-enclosures?team=OPMFG
Manufacturing Quality Engineer (MQE) Enclosures,Operations and Supply Chain,,2026-06-09,200667038,apple,2026-06-09,2026-06-09,0.2266,https://jobs.apple.com/en-us/details/200667038-0157/manufacturing-quality-engineer-mqe-enclosures?team=OPMFG
Manufacturing Quality Engineer - Color,Operations and Supply Chain,,2026-06-09,200667025,apple,2026-06-09,2026-06-09,0.2191,https://jobs.apple.com/en-us/details/200667025-0836/manufacturing-quality-engineer-color?team=OPMFG
Manufacturing Quality Engineer (MQE) Enclosures,Operations and Supply Chain,,2026-06-09,200667039,apple,2026-06-09,2026-06-09,0.2266,https://jobs.apple.com/en-us/details/200667039-0157/manufacturing-quality-engineer-mqe-enclosures?team=OPMFG
Manufacturing Design Engineer (MDE) - Brittles,Operations and Supply Chain,,2026-06-09,200666432,apple,2026-06-09,2026-06-09,0.2207,https://jobs.apple.com/en-us/details/200666432-0836/manufacturing-design-engineer-mde-brittles?team=OPMFG
Manufacturing Quality Engineer - Brittles,Operations and Supply Chain,,2026-06-09,200665961,apple,2026-06-09,2026-06-09,0.1861,https://jobs.apple.com/en-us/details/200665961-0836/manufacturing-quality-engineer-brittles?team=OPMFG
"Data Scientist, Maps Evaluation",Software and Services,,2026-06-09,200666663,apple,2026-06-09,2026-06-09,0.3643,https://jobs.apple.com/en-us/details/200666663-0836/data-scientist-maps-evaluation?team=SFTWR
Sr. Applied Research Scientist,Machine Learning and AI,,2026-06-09,200667370,apple,2026-06-09,2026-06-09,0.3637,https://jobs.apple.com/en-us/details/200667370-3760/sr-applied-research-scientist?team=MLAI
"Senior Engineering Program Manager, Ecosystem Development and Partnerships",Hardware,,2026-06-09,200667085,apple,2026-06-09,2026-06-09,0.276,https://jobs.apple.com/en-us/details/200667085-0836/senior-engineering-program-manager-ecosystem-development-and-partnerships?team=HRDWR
US-Expert,Apple Retail,,2026-06-09,200667361,apple,2026-06-09,2026-06-09,0.1832,https://jobs.apple.com/en-us/details/200667361-2276/us-expert?team=APPST
US-Technical Specialist,Apple Retail,,2026-06-09,200667362,apple,2026-06-09,2026-06-09,0.2256,https://jobs.apple.com/en-us/details/200667362-2707/us-technical-specialist?team=APPST
US-Genius,Apple Retail,,2026-06-09,200667360,apple,2026-06-09,2026-06-09,0.1573,https://jobs.apple.com/en-us/details/200667360-2276/us-genius?team=APPST
Data Center Hardware Engineering - Hardware System Integration Engineer,Hardware,,2026-06-09,200667245,apple,2026-06-09,2026-06-09,0.3226,https://jobs.apple.com/en-us/details/200667245-3956/data-center-hardware-engineering-hardware-system-integration-engineer?team=HRDWR
Instrument Systems Design Engineer,Hardware,,2026-06-09,200667269,apple,2026-06-09,2026-06-09,0.2107,https://jobs.apple.com/en-us/details/200667269-3543/instrument-systems-design-engineer?team=HRDWR
Motion Sensing Hardware Engineer,Hardware,,2026-06-09,200667477,apple,2026-06-09,2026-06-09,0.2132,https://jobs.apple.com/en-us/details/200667477-0836/motion-sensing-hardware-engineer?team=HRDWR
US-Technical Specialist,Apple Retail,,2026-06-09,200667430,apple,2026-06-09,2026-06-09,0.2256,https://jobs.apple.com/en-us/details/200667430-2591/us-technical-specialist?team=APPST
Manufacturing Quality Engineer (MQE) Enclosures,Operations and Supply Chain,,2026-06-09,200667033,apple,2026-06-09,2026-06-09,0.2266,https://jobs.apple.com/en-us/details/200667033-0836/manufacturing-quality-engineer-mqe-enclosures?team=OPMFG
"Software Engineer, Calls Security",Software and Services,,2026-06-09,200663651,apple,2026-06-09,2026-06-09,0.2847,https://jobs.apple.com/en-us/details/200663651-3543/software-engineer-calls-security?team=SFTWR
Manufacturing Design Opportunities,Operations and Supply Chain,,2026-06-09,200665221,apple,2026-06-09,2026-06-09,0.211,https://jobs.apple.com/en-us/details/200665221-0157/manufacturing-design-opportunities?team=OPMFG
Manufacturing Design Engineer (MDE) - Packaging,Operations and Supply Chain,,2026-06-09,200667061,apple,2026-06-09,2026-06-09,0.2434,https://jobs.apple.com/en-us/details/200667061-0836/manufacturing-design-engineer-mde-packaging?team=OPMFG
"Senior Software Engineer - Generative AI & ML, Customer Systems",Software and Services,,2026-06-09,200667162,apple,2026-06-09,2026-06-09,0.3636,https://jobs.apple.com/en-us/details/200667162-0157/senior-software-engineer-generative-ai-ml-customer-systems?team=SFTWR
Security Engineer,Software and Services,,2026-06-09,200667427,apple,2026-06-09,2026-06-09,0.2386,https://jobs.apple.com/en-us/details/200667427-0157/security-engineer?team=SFTWR
"Applied Research Scientist, Proactive Intelligence — Personal and Agentic Search",Machine Learning and AI,,2026-06-09,200667354,apple,2026-06-09,2026-06-09,0.43,https://jobs.apple.com/en-us/details/200667354-0836/applied-research-scientist-proactive-intelligence-personal-and-agentic-search?team=MLAI
"Sr. Technical Program Manager, Wallet Services Analytics",Machine Learning and AI,,2026-06-09,200667448,apple,2026-06-09,2026-06-09,0.3928,https://jobs.apple.com/en-us/details/200667448-1435/sr-technical-program-manager-wallet-services-analytics?team=MLAI
