title,team,location,posted_date,job_id,source,first_seen_date,last_seen_date,semantic_similarity,url,description_short,description,sub_team
"Embedded Software Engineer, BSP/Kernel - Reality Labs",AR/VR; Engineering; AR/VR; Engineering,"Sunnyvale, CA +1 locations",,1360016362641944,meta,2026-06-16,2026-06-21,0.3517,https://www.metacareers.com/profile/job_details/1360016362641944,"Embedded Software Engineer, BSP/Kernel - Reality Labs
Sunnyvale, CA +1 locations
⋅
AR/VR
⋅
Engineering
Multiple Locations
AR/VR
Engineering",,
Director of GWS Technology Strategy - Global Workplace Services,Global Operations; Artificial Intelligence +1 more; Global Operations; Artificial Intelligence; Facilities,"Menlo Park, CA +3 locations",,1305137701584993,meta,2026-06-03,2026-06-21,0.3138,https://www.metacareers.com/profile/job_details/1305137701584993,"Director of GWS Technology Strategy - Global Workplace Services
Menlo Park, CA +3 locations
⋅
Global Operations
⋅
Artificial Intelligence +1 more
Multiple Locations
Global Operations
Artificial Intelligence
Facilities",,
Critical Facility Engineer,Data Center; Data Center Operations; Data Center; Data Center Operations,"Aiken, SC +15 locations",,1690022942358388,meta,2026-06-17,2026-06-21,0.2842,https://www.metacareers.com/profile/job_details/1690022942358388,"Critical Facility Engineer
Aiken, SC +15 locations
⋅
Data Center
⋅
Data Center Operations
Multiple Locations
Data Center
Data Center Operations",,
Site Logistics Operations Lead,Data Center; Data Center Operations; Data Center; Data Center Operations,"Temple, TX +2 locations",,1522213942607714,meta,2026-06-05,2026-06-21,0.229,https://www.metacareers.com/profile/job_details/1522213942607714,"Site Logistics Operations Lead
Temple, TX +2 locations
⋅
Data Center
⋅
Data Center Operations
Multiple Locations
Data Center
Data Center Operations",,
Infrastructure Materials Manager,"Infrastructure +1 more; Data Center Operations; Menlo Park, CA; Infrastructure; Data Center; Data Center Operations","Menlo Park, CA",,1830606738130269,meta,2026-06-20,2026-06-21,0.218,https://www.metacareers.com/profile/job_details/1830606738130269,"Infrastructure Materials Manager
Menlo Park, CA
⋅
Infrastructure +1 more
⋅
Data Center Operations
Menlo Park, CA
Infrastructure
Data Center
Data Center Operations",,
Infrastructure Materials Manager,"Data Center +1 more; Data Center Operations; Menlo Park, CA; Data Center; Infrastructure; Data Center Operations","Menlo Park, CA",,27299132166411637,meta,2026-06-20,2026-06-21,0.2311,https://www.metacareers.com/profile/job_details/27299132166411637,"Infrastructure Materials Manager
Menlo Park, CA
⋅
Data Center +1 more
⋅
Data Center Operations
Menlo Park, CA
Data Center
Infrastructure
Data Center Operations",,
Leased Facility Engineer,Data Center; Data Center Operations; Data Center; Data Center Operations,"Santa Clara, CA +1 locations",,831663409504316,meta,2026-06-03,2026-06-21,0.2018,https://www.metacareers.com/profile/job_details/831663409504316,"Leased Facility Engineer
Santa Clara, CA +1 locations
⋅
Data Center
⋅
Data Center Operations
Multiple Locations
Data Center
Data Center Operations",,
Critical Facility Engineer,Data Center; Data Center Operations; Data Center; Data Center Operations,"Los Lunas, NM +6 locations",,1641406750475279,meta,2026-06-03,2026-06-21,0.2663,https://www.metacareers.com/profile/job_details/1641406750475279,"Critical Facility Engineer
Los Lunas, NM +6 locations
⋅
Data Center
⋅
Data Center Operations
Multiple Locations
Data Center
Data Center Operations",,
Product Manager,Product Management; Product Strategy; Product Management; Product Strategy,"Remote, US +6 locations",,1238249364564427,meta,2026-06-03,2026-06-21,0.1496,https://www.metacareers.com/profile/job_details/1238249364564427,"Product Manager
Remote, US +6 locations
⋅
Product Management
⋅
Product Strategy
Multiple Locations
Product Management
Product Strategy",,
"Research Scientist, Advanced Control","AI Infrastructure +2 more; Research +2 more; Menlo Park, CA; AI Infrastructure; Data Center; Research; Data Center Strategy; Data Center Operations","Menlo Park, CA",,1723615698957769,meta,2026-06-20,2026-06-21,0.2473,https://www.metacareers.com/profile/job_details/1723615698957769,"Research Scientist, Advanced Control
Menlo Park, CA
⋅
AI Infrastructure +2 more
⋅
Research +2 more
Menlo Park, CA
AI Infrastructure
Data Center
Research
Data Center Strategy
Data Center Operations",,
